DATE,XAU,CCI,FFR,MA14,MA7,MA_FFR,FFR_dy/dx
1980-05-01,513,97,10,351.7142857142857,468.85714285714283,9.333333333333334,0.006944444444444464
1980-07-01,656,97,9,382.2142857142857,518.7142857142857,9.5,0.0027322404371584604
1980-08-01,622,97,9,411.85714285714283,550.8571428571429,9.625,0.004032258064516129
1980-09-01,629,97,10,440.85714285714283,587.0,9.791666666666666,0.005376344086021486
1980-10-01,670,97,12,472.64285714285717,607.8571428571429,10.041666666666666,0.008333333333333333
1980-12-01,620,97,18,499.2142857142857,600.0,10.541666666666666,0.00819672131147541
1981-01-01,587,97,19,524.0,613.8571428571429,11.083333333333334,0.01747311827956993
1981-04-01,534,97,15,542.8571428571429,616.8571428571429,11.416666666666666,0.00370370370370369
1981-05-01,481,97,18,555.2857142857143,591.8571428571429,11.875,0.015277777777777798
1981-06-01,472,97,19,560.6428571428571,570.4285714285714,12.333333333333334,0.01478494623655916
1981-07-01,465,97,19,567.0,547.0,12.791666666666666,0.015277777777777739
1981-09-01,413,97,15,559.0714285714286,510.2857142857143,13.041666666666666,0.004032258064516129
1981-10-01,458,97,15,543.5714285714286,487.14285714285717,13.25,0.006944444444444464
1981-12-01,405,97,12,537.5,461.14285714285717,13.333333333333334,0.0013661202185792447
1982-01-01,400,97,13,529.4285714285714,442.0,13.458333333333334,0.004032258064516129
1982-02-01,371,97,14,509.07142857142856,426.2857142857143,13.625,0.005376344086021486
1982-03-01,368,97,14,490.92857142857144,411.42857142857144,13.791666666666666,0.005952380952380931
1982-04-01,328,97,14,469.42857142857144,391.85714285714283,13.958333333333334,0.005376344086021544
1982-06-01,319,97,14,444.35714285714283,378.42857142857144,14.125,0.0027322404371584604
1982-07-01,314,97,12,422.5,357.85714285714283,14.083333333333334,-0.0013888888888888692
1982-09-01,379,97,10,407.64285714285717,354.14285714285717,13.958333333333334,-0.0020161290322580645
1982-10-01,452,97,9,401.7857142857143,361.57142857142856,13.791666666666666,-0.005555555555555595
1982-11-01,422,97,9,397.57142857142856,368.85714285714283,13.583333333333334,-0.006720430107526844
1982-12-01,440,97,8,395.2857142857143,379.14285714285717,13.208333333333334,-0.0125
1983-02-01,503,97,8,398.0,404.14285714285717,13.125,-0.001344086021505386
1983-03-01,506,97,8,404.64285714285717,430.85714285714283,13.083333333333334,-0.001488095238095217
1983-04-01,412,97,8,401.35714285714283,444.85714285714283,13.041666666666666,-0.0013440860215054146
1983-06-01,439,97,8,403.7857142857143,453.42857142857144,12.958333333333334,-0.0013661202185792155
1983-07-01,412,97,9,404.64285714285717,447.7142857142857,12.833333333333334,-0.004166666666666667
1983-08-01,426,97,9,408.57142857142856,448.2857142857143,12.458333333333334,-0.012096774193548387
1983-09-01,421,97,9,412.35714285714283,445.57142857142856,12.041666666666666,-0.013440860215053802
1983-11-01,376,97,9,415.7857142857143,427.42857142857144,11.791666666666666,-0.004098360655737705
1983-12-01,383,97,9,420.35714285714283,409.85714285714283,11.416666666666666,-0.0125
1984-02-01,373,97,9,424.57142857142856,404.2857142857143,11.0,-0.006720430107526872
1984-03-01,400,98,9,426.07142857142856,398.7142857142857,10.583333333333334,-0.014367816091954002
1984-05-01,385,98,10,421.2857142857143,394.85714285714283,10.375,-0.0034153005464480973
1984-06-01,375,98,11,417.92857142857144,387.57142857142856,10.208333333333334,-0.005376344086021486
1984-08-01,345,98,11,411.14285714285717,376.7142857142857,10.166666666666666,-0.0006830601092896369
1984-10-01,344,98,9,399.7857142857143,372.14285714285717,10.0,-0.0027322404371584604
1984-11-01,338,98,9,387.7857142857143,365.7142857142857,9.791666666666666,-0.006720430107526901
1985-01-01,309,99,8,380.42857142857144,356.57142857142856,9.541666666666666,-0.004098360655737705
1985-02-01,303,100,8,370.7142857142857,342.7142857142857,9.291666666666666,-0.008064516129032258
1985-03-01,285,100,8,361.64285714285717,328.42857142857144,9.041666666666666,-0.008928571428571428
1985-04-01,316,100,8,353.7857142857143,320.0,8.875,-0.005376344086021486
1985-05-01,323,100,7,346.7857142857143,316.85714285714283,8.75,-0.004166666666666667
1985-07-01,322,100,7,342.92857142857144,313.7142857142857,8.666666666666666,-0.0013661202185792447
1985-08-01,323,100,7,338.64285714285717,311.57142857142856,8.583333333333334,-0.0026881720430107143
1985-10-01,318,100,7,334.7142857142857,312.85714285714283,8.541666666666666,-0.0006830601092896369
1985-11-01,318,100,8,328.85714285714283,315.0,8.541666666666666,0.0
1986-01-01,327,101,8,324.7142857142857,321.0,8.541666666666666,0.0
1986-04-01,342,101,6,322.35714285714283,324.7142857142857,8.458333333333334,-0.0009259259259259126
1986-05-01,346,101,6,322.42857142857144,328.0,8.375,-0.0027777777777777974
1986-07-01,343,101,6,322.35714285714283,331.0,8.25,-0.0020491803278688526
1986-08-01,349,100,6,323.14285714285717,334.7142857142857,8.125,-0.004032258064516129
1986-09-01,392,100,5,329.07142857142856,345.2857142857143,7.958333333333333,-0.005376344086021515
1986-10-01,434,100,5,338.42857142857144,361.85714285714283,7.791666666666667,-0.005555555555555536
1986-12-01,390,100,6,345.92857142857144,370.85714285714283,7.666666666666667,-0.0020491803278688526
1987-01-01,391,100,6,351.2857142857143,377.85714285714283,7.541666666666667,-0.004032258064516129
1987-04-01,419,100,6,358.14285714285717,388.2857142857143,7.416666666666667,-0.0013888888888888887
1987-05-01,453,100,6,367.5,404.0,7.25,-0.005555555555555565
1987-06-01,460,100,6,377.2857142857143,419.85714285714283,7.041666666666667,-0.006720430107526872
1987-07-01,446,100,6,386.42857142857144,427.57142857142856,6.833333333333333,-0.006944444444444464
